Property;Belongs to;Description
accesskey;Global Attributes;Specifies a shortcut key to activate/focus an element
class;Global Attributes;Specifies one or more classnames for an element (refers to a class in a style sheet)
contenteditable;Global Attributes;Specifies whether the content of an element is editable or not
data-*;Global Attributes;Used to store custom data private to the page or application
dir;Global Attributes;Specifies the text direction for the content in an element
draggable;Global Attributes;Specifies whether an element is draggable or not
hidden;Global Attributes;Specifies that an element is not yet or is no longer relevant
id;Global Attributes;Specifies a unique id for an element
lang;Global Attributes;Specifies the language of the element's content
spellcheck;Global Attributes;Specifies whether the element is to have its spelling and grammar checked or not
style;Global Attributes;Specifies an inline CSS style for an element
tabindex;Global Attributes;Specifies the tabbing order of an element
title;Global Attributes;Specifies extra information about an element
translate;Global Attributes;Specifies whether the content of an element should be translated or not
onblur;All visible elements.;Script to be run when the element loses focus
onchange;All visible elements.;Script to be run when the value of the element is changed
onclick;All visible elements.;Script to be run when the element is being clicked
oncontextmenu;All visible elements.;Script to be run when a context menu is triggered
oncopy;All visible elements.;Script to be run when the content of the element is being copied
oncut;All visible elements.;Script to be run when the content of the element is being cut
ondblclick;All visible elements.;Script to be run when the element is being double-clicked
ondrag;All visible elements.;Script to be run when the element is being dragged
ondragend;All visible elements.;Script to be run at the end of a drag operation
ondragenter;All visible elements.;Script to be run when an element has been dragged to a valid drop target
ondragleave;All visible elements.;Script to be run when an element leaves a valid drop target
ondragover;All visible elements.;Script to be run when an element is being dragged over a valid drop target
ondragstart;All visible elements.;Script to be run at the start of a drag operation
ondrop;All visible elements.;Script to be run when dragged element is being dropped
onfocus;All visible elements.;Script to be run when the element gets focus
oninput;All visible elements.;Script to be run when the element gets user input
oninvalid;All visible elements.;Script to be run when the element is invalid
onkeydown;All visible elements.;Script to be run when a user is pressing a key
onkeypress;All visible elements.;Script to be run when a user presses a key
onkeyup;All visible elements.;Script to be run when a user releases a key
onmousedown;All visible elements.;Script to be run when a mouse button is pressed down on an element
onmousemove;All visible elements.;Script to be run as long as the  mouse pointer is moving over an element
onmouseout;All visible elements.;Script to be run when a mouse pointer moves out of an element
onmouseover;All visible elements.;Script to be run when a mouse pointer moves over an element
onmouseup;All visible elements.;Script to be run when a mouse button is released over an element
onmousewheel;All visible elements.;Script to be run when a mouse wheel is being scrolled over an element
onpaste;All visible elements.;Script to be run when the user pastes some content in an element
onscroll;All visible elements.;Script to be run when an element's scrollbar is being scrolled
onselect;All visible elements.;Script to be run when the element gets selected
onwheel;All visible elements.;Script to be run when the mouse wheel rolls up or down over an element
muted;<video> <audio>;Specifies that the audio output of the video should be muted
poster;<video>;Specifies an image to be shown while the video is downloading or until the user hits the play button
label;<track> <option> <optgroup>;Specifies the title of the text track
default;<track>;Specifies that the track is to be enabled if the user's preferences do not indicate that another track would be more appropriate
kind;<track>;Specifies the kind of text track
oncuechange;<track>;Script to be run when the cue changes in a <track> element
